specie,record_number,process,QDB_process,type,element,ionic_state,initial_state_conf,initial_state,final_state,reaction_formula,x_unit,y_unit,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
C3H8,10271,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2H3++CH4+H+2e,C3H8 + e --> C2H3++CH4+H+2e, eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
C3H8,10270,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2H3+,C3H8 + e --> C2H3+(total), eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
C3H8,10126,dissociative ionization dissociation,EDS, E,C3H8,0,,C3H8 +0 ( ),C2H4+,C3H8 + e --> C2H4+, eV,cm2,RN 1993E013, Grill  V. Walder  G. Margreiter  D. Rauth  T. Poll  H.U. Scheier  P. Mark  T.D.,Absolute partial and total electron impact ionization cross sections for C3H8 from threshold up to 950 eV, Z. Phys. D,25,217,1993
C3H8,10445,dissociative ionization dissociation,EDS, V,C3H8,0,,C3H8 +0 ( ),C2H4+,C3H8 + e --> C2H4+, eV,cm2,RN 2002V202, Shirai  T. Tabata  T. Hiroyuki  T. Itikawa  Y.,"ANALYTIC CROSS SECTIONS FOR ELECTRON COLLISIONS WITH HYDROCARBONS: CH4, C2H6, C2H4, C2H2, C3H8, AND C3H6", Atomic Data and Nuclear Tables,80,147-204,2002
C3H8,10268,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2H4++CH2+H2+2e,C3H8 + e --> C2H4++CH2+H2+2e, eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
C3H8,10267,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2H4++CH3+H+2e,C3H8 + e --> C2H4++CH3+H+2e, eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
C3H8,10266,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2H4++CH4+2e,C3H8 + e --> C2H4++CH4+2e, eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
C3H8,10269,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2H\4++CH+H2+H+2e,C3H8 + e --> C2H\4++CH+H2+H+2e, eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
C3H8,10125,dissociative ionization dissociation,EDS, E,C3H8,0,,C3H8 +0 ( ),C2H5+,C3H8 + e --> C2H5+, eV,cm2,RN 1993E013, Grill  V. Walder  G. Margreiter  D. Rauth  T. Poll  H.U. Scheier  P. Mark  T.D.,Absolute partial and total electron impact ionization cross sections for C3H8 from threshold up to 950 eV, Z. Phys. D,25,217,1993
C3H8,10444,dissociative ionization dissociation,EDS, V,C3H8,0,,C3H8 +0 ( ),C2H5+,C3H8 + e --> C2H5+, eV,cm2,RN 2002V202, Shirai  T. Tabata  T. Hiroyuki  T. Itikawa  Y.,"ANALYTIC CROSS SECTIONS FOR ELECTRON COLLISIONS WITH HYDROCARBONS: CH4, C2H6, C2H4, C2H2, C3H8, AND C3H6", Atomic Data and Nuclear Tables,80,147-204,2002
